Time (UTCG),Lat (deg),Lon (deg),Alt (km),vx (km/sec),vy (km/sec),vz (km/sec),vx (km/sec).1,vy (km/sec).1,vz (km/sec).1,B_Tesla,Bx_Tesla,By_Tesla,Bz_Tesla
1 Jan 2011 00:01:22.000,-82.44200000000001,102.65299999999999,3018.304545,-1.015847,-5.748086,-0.65125,5.871748999999999,-0.034497,-0.657718,1.7793981525540986e-05,-2.067074141578727e-06,-1.8949702159356073e-06,1.7571626871329455e-05
1 Jan 2011 00:01:23.000,-82.475,102.758,3018.241328,-1.0165549999999999,-5.748513,-0.646762,5.8723019999999995,-0.034262,-0.65323,1.7793283518570834e-05,-2.0615647879245815e-06,-1.9034963207989836e-06,1.7570645712498407e-05
1 Jan 2011 00:01:24.000,-82.508,102.863,3018.1772899999996,-1.017264,-5.748937000000001,-0.6422720000000001,5.872852,-0.034026999999999995,-0.648741,1.7792570600563488e-05,-2.0560489234011887e-06,-1.912012750532387e-06,1.7569645376114414e-05
1 Jan 2011 00:01:25.000,-82.541,102.97,3018.11243,-1.017971,-5.749358,-0.637783,5.873399,-0.033792,-0.644252,1.7791870761569897e-05,-2.050420350587925e-06,-1.9205905577761005e-06,1.756865884157587e-05
1 Jan 2011 00:01:26.000,-82.574,103.07700000000001,3018.04675,-1.0186790000000001,-5.749776,-0.633293,5.873944,-0.033557,-0.639763,1.7791155715232998e-05,-2.0447850526150076e-06,-1.929158269242286e-06,1.75676527784586e-05
1 Jan 2011 00:01:27.000,-82.60700000000001,103.185,3017.980248,-1.0193860000000001,-5.750192,-0.628803,5.874485,-0.033322000000000004,-0.635273,1.779043930529976e-05,-2.0390898129332787e-06,-1.9377512102689e-06,1.756664349434597e-05
1 Jan 2011 00:01:28.000,-82.64,103.295,3017.912925,-1.020092,-5.750605,-0.624312,5.875024,-0.033087,-0.630783,1.7789735006802656e-05,-2.033281146233388e-06,-1.9464043216867773e-06,1.7565646859969342e-05
1 Jan 2011 00:01:29.000,-82.67299999999999,103.405,3017.844781,-1.0207979999999999,-5.751014,-0.619821,5.87556,-0.032852,-0.626292,1.778901507468404e-05,-2.0274654339953843e-06,-1.955046688517806e-06,1.7564630189303888e-05
1 Jan 2011 00:01:30.000,-82.705,103.51700000000001,3017.775815,-1.0215040000000002,-5.751421,-0.615329,5.876093,-0.032617,-0.621801,1.7788386170076575e-05,-2.0215362684451153e-06,-1.9636055247787344e-06,1.7563721900388623e-05
1 Jan 2011 00:01:31.000,-82.738,103.62899999999999,3017.706029,-1.022209,-5.751826,-0.610837,5.876623,-0.032382,-0.61731,1.7787662114684973e-05,-2.015599393413244e-06,-1.9722960705203917e-06,1.756269713915494e-05
1 Jan 2011 00:01:32.000,-82.771,103.743,3017.635422,-1.0229139999999999,-5.7522269999999995,-0.606345,5.87715,-0.032147,-0.612818,1.778694889786304e-05,-2.0095481194817125e-06,-1.9810451080303525e-06,1.7561683510718094e-05
1 Jan 2011 00:01:33.000,-82.804,103.85799999999999,3017.5639929999998,-1.023619,-5.752626,-0.601852,5.877675,-0.031912,-0.608326,1.7786232757886528e-05,-2.003435717746921e-06,-1.9898172501799306e-06,1.7560664803858025e-05
1 Jan 2011 00:01:34.000,-82.836,103.973,3017.491743,-1.024322,-5.7530209999999995,-0.597359,5.878197,-0.031677,-0.603833,1.778558112641034e-05,-1.9973162194102142e-06,-1.998434754461914e-06,1.7559723302374764e-05
1 Jan 2011 00:01:35.000,-82.869,104.09,3017.418672,-1.025026,-5.753414,-0.592865,5.878715000000001,-0.031441000000000004,-0.59934,1.7784858862214544e-05,-1.9910811050738933e-06,-2.0072522253774824e-06,1.755869412244618e-05
1 Jan 2011 00:01:36.000,-82.902,104.208,3017.34478,-1.0257290000000001,-5.753804,-0.588371,5.879232,-0.031206,-0.594847,1.778413298617089e-05,-1.9847843294013317e-06,-2.016091780344825e-06,1.7557659045806777e-05
1 Jan 2011 00:01:37.000,-82.934,104.32700000000001,3017.2700670000004,-1.026432,-5.7541910000000005,-0.5838770000000001,5.879745,-0.030971,-0.590353,1.778348511383395e-05,-1.9784262179601937e-06,-2.0248104015624417e-06,1.755671710006646e-05
1 Jan 2011 00:01:38.000,-82.96700000000001,104.447,3017.194533,-1.027134,-5.754576,-0.579382,5.880255,-0.030736000000000003,-0.585859,1.778275166887032e-05,-1.972005590573602e-06,-2.0336931066336305e-06,1.75556698310115e-05
1 Jan 2011 00:01:39.000,-82.999,104.569,3017.118178,-1.027836,-5.754957,-0.574887,5.880763,-0.030501,-0.581364,1.7782109190577363e-05,-1.9654692007765396e-06,-2.0424883402746195e-06,1.755473097105897e-05
